Time, Quadrant Number, Ball Colour, Event Type
40.90, 4, red, Exit
41.00, 1, red, Exit
41.03, 4, red, Exit
41.27, 1, red, Exit
41.30, 4, red, Exit
41.30, 3, red, Exit
41.33, 4, red, Exit
41.33, 1, red, Exit
41.37, 4, red, Exit
41.43, 2, red, Exit
41.47, 4, red, Exit
41.47, 2, red, Exit
41.50, 4, red, Exit
41.50, 1, red, Exit
41.53, 4, red, Exit
41.53, 1, red, Exit
41.57, 4, red, Exit
41.57, 3, red, Exit
41.60, 4, red, Exit
41.60, 1, red, Exit
41.63, 4, red, Exit
41.73, 3, red, Exit
41.73, 4, red, Exit
41.80, 3, red, Exit
41.83, 4, red, Exit
41.97, 3, red, Exit
41.97, 4, red, Exit
42.00, 1, red, Exit
42.20, 3, red, Exit
42.67, 1, red, Exit
42.77, 3, red, Exit
42.87, 1, red, Exit
43.23, 4, red, Exit
43.23, 2, red, Exit
43.37, 1, red, Exit
43.40, 2, red, Exit
43.60, 3, red, Exit
43.60, 2, red, Exit
43.70, 4, red, Exit
43.70, 3, red, Exit
43.90, 1, red, Exit
43.97, 2, red, Exit
44.00, 1, red, Exit
44.03, 3, red, Exit
44.03, 2, red, Exit
44.10, 4, red, Exit
44.13, 2, red, Exit
44.17, 3, red, Exit
44.60, 1, red, Exit
44.67, 3, red, Exit
45.10, 1, red, Exit
45.10, 2, red, Exit
45.13, 4, red, Exit
45.17, 2, red, Exit
45.30, 3, red, Exit
45.33, 2, red, Exit
45.37, 3, red, Exit
45.43, 4, red, Exit
45.60, 3, red, Exit
45.60, 2, red, Exit
45.63, 3, red, Exit
45.63, 2, red, Exit
45.67, 4, red, Exit
45.67, 2, red, Exit
45.70, 3, red, Exit
45.73, 2, red, Exit
45.73, 1, red, Exit
45.83, 3, red, Exit
45.87, 1, red, Exit
45.90, 2, red, Exit
45.90, 1, red, Exit
45.97, 2, red, Exit
46.17, 1, red, Exit
46.17, 2, red, Exit
46.23, 4, red, Exit
46.40, 3, red, Exit
46.40, 4, red, Exit
46.47, 1, red, Exit
46.50, 4, red, Exit
46.50, 4, white, Exit
46.50, 2, white, Exit
46.53, 4, white, Exit
46.53, 2, white, Exit
46.57, 4, white, Exit
46.57, 2, white, Exit
46.60, 4, white, Exit
46.60, 2, white, Exit
46.63, 4, white, Exit
46.63, 2, white, Exit
46.67, 4, white, Exit
46.67, 2, white, Exit
46.67, 4, white, Exit
46.70, 3, red, Exit
46.70, 2, red, Exit
46.70, 2, white, Exit
46.70, 1, white, Exit
46.70, 4, white, Exit
46.73, 2, white, Exit
46.73, 1, white, Exit
46.73, 4, white, Exit
46.77, 2, white, Exit
46.77, 1, white, Exit
46.77, 4, white, Exit
46.77, 2, white, Exit
46.80, 1, white, Exit
46.80, 4, white, Exit
46.80, 2, white, Exit
46.83, 4, red, Exit
46.83, 3, red, Exit
46.83, 4, white, Exit
